日付,部門,商品名,販売数量,単価,売上金額,顧客区分,地域
2024-12-16,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外直販,欧州
2024-12-16,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2024-12-16,海外事業部,Mobile Battery Plus (NA),17,7980,135660,海外直販,北米
2024-12-17,コンシューマー事業部,スマートウォッチ Pro,32,39800,1273600,個人,福岡
2024-12-17,コンシューマー事業部,ワイヤレスイヤホン Elite,49,24800,1215200,個人,福岡
2024-12-17,コンシューマー事業部,ポータブルスピーカー SX,20,18500,370000,個人,名古屋
2024-12-17,コンシューマー事業部,モバイルバッテリー Plus,76,6980,530480,量販店,東京
2024-12-17,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,名古屋
2024-12-17,法人ソリューション事業部,サーバー保守契約,3,180000,540000,官公庁,名古屋
2024-12-17,法人ソリューション事業部,導入コンサルティング,1,800000,800000,中小企業,大阪
2024-12-17,EC事業部,アクセサリーセット,40,4980,199200,個人,—
2024-12-17,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-17,EC事業部,リファービッシュ品,14,19800,277200,個人,—
2024-12-17,EC事業部,サブスクリプションBOX,41,3980,163180,個人,—
2024-12-17,EC事業部,カスタマイズケース,44,2980,131120,個人,—
2024-12-17,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外代理店,北米
2024-12-17,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外直販,欧州
2024-12-17,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2024-12-17,海外事業部,Mobile Battery Plus (NA),15,7980,119700,海外代理店,北米
2024-12-18,コンシューマー事業部,スマートウォッチ Pro,31,39800,1233800,個人,福岡
2024-12-18,コンシューマー事業部,ワイヤレスイヤホン Elite,36,24800,892800,個人,仙台
2024-12-18,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,量販店,名古屋
2024-12-18,コンシューマー事業部,モバイルバッテリー Plus,57,6980,397860,量販店,仙台
2024-12-18,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,大企業,福岡
2024-12-18,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,名古屋
2024-12-18,法人ソリューション事業部,導入コンサルティング,1,800000,800000,教育機関,大阪
2024-12-18,EC事業部,アクセサリーセット,31,4980,154380,個人,—
2024-12-18,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2024-12-18,EC事業部,リファービッシュ品,12,19800,237600,個人,—
2024-12-18,EC事業部,サブスクリプションBOX,34,3980,135320,個人,—
2024-12-18,EC事業部,カスタマイズケース,54,2980,160920,個人,—
2024-12-18,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外代理店,北米
2024-12-18,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2024-12-18,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2024-12-18,海外事業部,Mobile Battery Plus (NA),13,7980,103740,海外直販,北米
2024-12-19,コンシューマー事業部,スマートウォッチ Pro,14,39800,557200,個人,東京
2024-12-19,コンシューマー事業部,ワイヤレスイヤホン Elite,39,24800,967200,個人,札幌
2024-12-19,コンシューマー事業部,ポータブルスピーカー SX,29,18500,536500,個人,大阪
2024-12-19,コンシューマー事業部,モバイルバッテリー Plus,69,6980,481620,量販店,名古屋
2024-12-19,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,大企業,名古屋
2024-12-19,法人ソリューション事業部,サーバー保守契約,3,180000,540000,大企業,大阪
2024-12-19,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,官公庁,東京
2024-12-19,法人ソリューション事業部,導入コンサルティング,1,800000,800000,中小企業,福岡
2024-12-19,EC事業部,アクセサリーセット,51,4980,253980,個人,—
2024-12-19,EC事業部,限定コラボモデル,9,49800,448200,個人,—
2024-12-19,EC事業部,リファービッシュ品,13,19800,257400,個人,—
2024-12-19,EC事業部,サブスクリプションBOX,42,3980,167160,個人,—
2024-12-19,EC事業部,カスタマイズケース,28,2980,83440,個人,—
2024-12-19,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外直販,北米
2024-12-19,海外事業部,Wireless Earbuds Elite (EU),12,27800,333600,海外代理店,欧州
2024-12-19,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2024-12-19,海外事業部,Mobile Battery Plus (NA),17,7980,135660,海外直販,北米
2024-12-20,コンシューマー事業部,スマートウォッチ Pro,21,39800,835800,量販店,福岡
2024-12-20,コンシューマー事業部,ワイヤレスイヤホン Elite,36,24800,892800,量販店,東京
2024-12-20,コンシューマー事業部,ポータブルスピーカー SX,19,18500,351500,個人,仙台
2024-12-20,コンシューマー事業部,モバイルバッテリー Plus,46,6980,321080,量販店,仙台
2024-12-20,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,中小企業,福岡
2024-12-20,法人ソリューション事業部,サーバー保守契約,2,180000,360000,大企業,東京
2024-12-20,EC事業部,アクセサリーセット,39,4980,194220,個人,—
2024-12-20,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2024-12-20,EC事業部,リファービッシュ品,7,19800,138600,個人,—
2024-12-20,EC事業部,サブスクリプションBOX,39,3980,155220,個人,—
2024-12-20,EC事業部,カスタマイズケース,30,2980,89400,個人,—
2024-12-20,海外事業部,SmartWatch Pro (NA),9,42800,385200,海外直販,北米
2024-12-20,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外直販,欧州
2024-12-20,海外事業部,Portable Speaker (APAC),6,19800,118800,海外直販,アジア太平洋
2024-12-20,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外代理店,北米
2024-12-21,コンシューマー事業部,スマートウォッチ Pro,23,39800,915400,個人,福岡
2024-12-21,コンシューマー事業部,ワイヤレスイヤホン Elite,60,24800,1488000,個人,仙台
2024-12-21,コンシューマー事業部,ポータブルスピーカー SX,26,18500,481000,個人,大阪
2024-12-21,コンシューマー事業部,モバイルバッテリー Plus,101,6980,704980,量販店,名古屋
2024-12-21,EC事業部,アクセサリーセット,50,4980,249000,個人,—
2024-12-21,EC事業部,限定コラボモデル,9,49800,448200,個人,—
2024-12-21,EC事業部,リファービッシュ品,15,19800,297000,個人,—
2024-12-21,EC事業部,サブスクリプションBOX,39,3980,155220,個人,—
2024-12-21,EC事業部,カスタマイズケース,72,2980,214560,個人,—
2024-12-21,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外代理店,北米
2024-12-21,海外事業部,Wireless Earbuds Elite (EU),6,27800,166800,海外直販,欧州
2024-12-21,海外事業部,Portable Speaker (APAC),3,19800,59400,海外代理店,アジア太平洋
2024-12-21,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外直販,北米
2024-12-22,コンシューマー事業部,スマートウォッチ Pro,42,39800,1671600,量販店,札幌
2024-12-22,コンシューマー事業部,ワイヤレスイヤホン Elite,76,24800,1884800,量販店,札幌
2024-12-22,コンシューマー事業部,ポータブルスピーカー SX,32,18500,592000,個人,東京
2024-12-22,コンシューマー事業部,モバイルバッテリー Plus,106,6980,739880,個人,札幌
2024-12-22,EC事業部,アクセサリーセット,67,4980,333660,個人,—
2024-12-22,EC事業部,限定コラボモデル,10,49800,498000,個人,—
2024-12-22,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2024-12-22,EC事業部,サブスクリプションBOX,46,3980,183080,個人,—
2024-12-22,EC事業部,カスタマイズケース,53,2980,157940,個人,—
2024-12-22,海外事業部,SmartWatch Pro (NA),4,42800,171200,海外直販,北米
2024-12-22,海外事業部,Wireless Earbuds Elite (EU),6,27800,166800,海外代理店,欧州
2024-12-22,海外事業部,Portable Speaker (APAC),3,19800,59400,海外代理店,アジア太平洋
2024-12-22,海外事業部,Mobile Battery Plus (NA),10,7980,79800,海外直販,北米
2024-12-23,コンシューマー事業部,スマートウォッチ Pro,24,39800,955200,個人,札幌
2024-12-23,コンシューマー事業部,ワイヤレスイヤホン Elite,38,24800,942400,量販店,仙台
2024-12-23,コンシューマー事業部,ポータブルスピーカー SX,18,18500,333000,量販店,福岡
2024-12-23,コンシューマー事業部,モバイルバッテリー Plus,55,6980,383900,個人,福岡
2024-12-23,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,東京
2024-12-23,法人ソリューション事業部,サーバー保守契約,3,180000,540000,中小企業,名古屋
2024-12-23,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,大企業,東京
2024-12-23,法人ソリューション事業部,導入コンサルティング,1,800000,800000,中小企業,名古屋
2024-12-23,EC事業部,アクセサリーセット,43,4980,214140,個人,—
2024-12-23,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2024-12-23,EC事業部,リファービッシュ品,13,19800,257400,個人,—
2024-12-23,EC事業部,サブスクリプションBOX,36,3980,143280,個人,—
2024-12-23,EC事業部,カスタマイズケース,51,2980,151980,個人,—
2024-12-23,海外事業部,SmartWatch Pro (NA),10,42800,428000,海外代理店,北米
2024-12-23,海外事業部,Wireless Earbuds Elite (EU),11,27800,305800,海外代理店,欧州
2024-12-23,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2024-12-23,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外代理店,北米
2024-12-24,コンシューマー事業部,スマートウォッチ Pro,26,39800,1034800,量販店,札幌
2024-12-24,コンシューマー事業部,ワイヤレスイヤホン Elite,31,24800,768800,個人,福岡
2024-12-24,コンシューマー事業部,ポータブルスピーカー SX,22,18500,407000,個人,札幌
2024-12-24,コンシューマー事業部,モバイルバッテリー Plus,48,6980,335040,個人,名古屋
2024-12-24,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,大企業,名古屋
2024-12-24,法人ソリューション事業部,サーバー保守契約,3,180000,540000,教育機関,大阪
2024-12-24,EC事業部,アクセサリーセット,54,4980,268920,個人,—
2024-12-24,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2024-12-24,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2024-12-24,EC事業部,サブスクリプションBOX,30,3980,119400,個人,—
2024-12-24,EC事業部,カスタマイズケース,37,2980,110260,個人,—
2024-12-24,海外事業部,SmartWatch Pro (NA),9,42800,385200,海外直販,北米
2024-12-24,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2024-12-24,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2024-12-24,海外事業部,Mobile Battery Plus (NA),17,7980,135660,海外代理店,北米
2024-12-25,コンシューマー事業部,スマートウォッチ Pro,28,39800,1114400,量販店,札幌
2024-12-25,コンシューマー事業部,ワイヤレスイヤホン Elite,34,24800,843200,個人,名古屋
2024-12-25,コンシューマー事業部,ポータブルスピーカー SX,15,18500,277500,個人,名古屋
2024-12-25,コンシューマー事業部,モバイルバッテリー Plus,57,6980,397860,個人,大阪
2024-12-25,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,官公庁,福岡
2024-12-25,法人ソリューション事業部,サーバー保守契約,3,180000,540000,中小企業,大阪
2024-12-25,法人ソリューション事業部,セキュリティ監査パッケージ,2,450000,900000,官公庁,大阪
2024-12-25,法人ソリューション事業部,導入コンサルティング,1,800000,800000,官公庁,名古屋
2024-12-25,EC事業部,アクセサリーセット,59,4980,293820,個人,—
2024-12-25,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2024-12-25,EC事業部,リファービッシュ品,19,19800,376200,個人,—
2024-12-25,EC事業部,サブスクリプションBOX,27,3980,107460,個人,—
2024-12-25,EC事業部,カスタマイズケース,52,2980,154960,個人,—
2024-12-25,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外代理店,北米
2024-12-25,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外直販,欧州
2024-12-25,海外事業部,Portable Speaker (APAC),5,19800,99000,海外代理店,アジア太平洋
2024-12-25,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外代理店,北米
2024-12-26,コンシューマー事業部,スマートウォッチ Pro,31,39800,1233800,量販店,福岡
2024-12-26,コンシューマー事業部,ワイヤレスイヤホン Elite,26,24800,644800,個人,仙台
2024-12-26,コンシューマー事業部,ポータブルスピーカー SX,24,18500,444000,個人,東京
2024-12-26,コンシューマー事業部,モバイルバッテリー Plus,69,6980,481620,量販店,大阪
2024-12-26,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,官公庁,名古屋
2024-12-26,法人ソリューション事業部,サーバー保守契約,4,180000,720000,教育機関,名古屋
2024-12-26,法人ソリューション事業部,セキュリティ監査パッケージ,2,450000,900000,大企業,東京
2024-12-26,法人ソリューション事業部,導入コンサルティング,2,800000,1600000,大企業,東京
2024-12-26,EC事業部,アクセサリーセット,46,4980,229080,個人,—
2024-12-26,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2024-12-26,EC事業部,リファービッシュ品,18,19800,356400,個人,—
2024-12-26,EC事業部,サブスクリプションBOX,35,3980,139300,個人,—
2024-12-26,EC事業部,カスタマイズケース,31,2980,92380,個人,—
2024-12-26,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外直販,北米
2024-12-26,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2024-12-26,海外事業部,Portable Speaker (APAC),6,19800,118800,海外直販,アジア太平洋
2024-12-26,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外代理店,北米
2024-12-27,コンシューマー事業部,スマートウォッチ Pro,18,39800,716400,量販店,東京
2024-12-27,コンシューマー事業部,ワイヤレスイヤホン Elite,28,24800,694400,量販店,東京
2024-12-27,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,福岡
2024-12-27,コンシューマー事業部,モバイルバッテリー Plus,70,6980,488600,個人,福岡
2024-12-27,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,大企業,名古屋
2024-12-27,法人ソリューション事業部,サーバー保守契約,4,180000,720000,教育機関,大阪
2024-12-27,法人ソリューション事業部,セキュリティ監査パッケージ,2,450000,900000,大企業,東京
2024-12-27,法人ソリューション事業部,導入コンサルティング,1,800000,800000,官公庁,大阪
2024-12-27,EC事業部,アクセサリーセット,41,4980,204180,個人,—
2024-12-27,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2024-12-27,EC事業部,リファービッシュ品,7,19800,138600,個人,—
2024-12-27,EC事業部,サブスクリプションBOX,31,3980,123380,個人,—
2024-12-27,EC事業部,カスタマイズケース,29,2980,86420,個人,—
2024-12-27,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外直販,北米
2024-12-27,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2024-12-27,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2024-12-27,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
2024-12-28,コンシューマー事業部,スマートウォッチ Pro,29,39800,1154200,量販店,名古屋
2024-12-28,コンシューマー事業部,ワイヤレスイヤホン Elite,85,24800,2108000,個人,福岡
2024-12-28,コンシューマー事業部,ポータブルスピーカー SX,25,18500,462500,個人,札幌
2024-12-28,コンシューマー事業部,モバイルバッテリー Plus,82,6980,572360,個人,大阪
2024-12-28,EC事業部,アクセサリーセット,60,4980,298800,個人,—
2024-12-28,EC事業部,限定コラボモデル,9,49800,448200,個人,—
2024-12-28,EC事業部,リファービッシュ品,13,19800,257400,個人,—
2024-12-28,EC事業部,サブスクリプションBOX,35,3980,139300,個人,—
2024-12-28,EC事業部,カスタマイズケース,61,2980,181780,個人,—
2024-12-28,海外事業部,SmartWatch Pro (NA),3,42800,128400,海外直販,北米
2024-12-28,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2024-12-28,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2024-12-28,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外代理店,北米
2024-12-29,コンシューマー事業部,スマートウォッチ Pro,39,39800,1552200,個人,大阪
2024-12-29,コンシューマー事業部,ワイヤレスイヤホン Elite,82,24800,2033600,個人,東京
2024-12-29,コンシューマー事業部,ポータブルスピーカー SX,27,18500,499500,個人,仙台
2024-12-29,コンシューマー事業部,モバイルバッテリー Plus,122,6980,851560,個人,東京
2024-12-29,EC事業部,アクセサリーセット,46,4980,229080,個人,—
2024-12-29,EC事業部,限定コラボモデル,12,49800,597600,個人,—
2024-12-29,EC事業部,リファービッシュ品,16,19800,316800,個人,—
2024-12-29,EC事業部,サブスクリプションBOX,29,3980,115420,個人,—
2024-12-29,EC事業部,カスタマイズケース,69,2980,205620,個人,—
2024-12-29,海外事業部,SmartWatch Pro (NA),4,42800,171200,海外代理店,北米
2024-12-29,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2024-12-29,海外事業部,Portable Speaker (APAC),3,19800,59400,海外直販,アジア太平洋
2024-12-29,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外直販,北米
2024-12-30,コンシューマー事業部,スマートウォッチ Pro,25,39800,995000,量販店,大阪
2024-12-30,コンシューマー事業部,ワイヤレスイヤホン Elite,46,24800,1140800,個人,大阪
2024-12-30,コンシューマー事業部,ポータブルスピーカー SX,14,18500,259000,個人,札幌
2024-12-30,コンシューマー事業部,モバイルバッテリー Plus,73,6980,509540,個人,名古屋
2024-12-30,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,官公庁,東京
2024-12-30,法人ソリューション事業部,サーバー保守契約,6,180000,1080000,教育機関,福岡
2024-12-30,法人ソリューション事業部,セキュリティ監査パッケージ,2,450000,900000,中小企業,名古屋
2024-12-30,法人ソリューション事業部,導入コンサルティング,1,800000,800000,教育機関,名古屋
2024-12-30,EC事業部,アクセサリーセット,55,4980,273900,個人,—
2024-12-30,EC事業部,限定コラボモデル,8,49800,398400,個人,—
2024-12-30,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2024-12-30,EC事業部,サブスクリプションBOX,27,3980,107460,個人,—
2024-12-30,EC事業部,カスタマイズケース,32,2980,95360,個人,—
2024-12-30,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外代理店,北米
2024-12-30,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外代理店,欧州
2024-12-30,海外事業部,Portable Speaker (APAC),5,19800,99000,海外直販,アジア太平洋
2024-12-30,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外代理店,北米
2024-12-31,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,量販店,名古屋
2024-12-31,コンシューマー事業部,ワイヤレスイヤホン Elite,39,24800,967200,個人,福岡
2024-12-31,コンシューマー事業部,ポータブルスピーカー SX,15,18500,277500,個人,東京
2024-12-31,コンシューマー事業部,モバイルバッテリー Plus,62,6980,432760,個人,大阪
2024-12-31,法人ソリューション事業部,クラウドライセンス（年間）,3,360000,1080000,大企業,大阪
2024-12-31,法人ソリューション事業部,サーバー保守契約,6,180000,1080000,大企業,名古屋
2024-12-31,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,大企業,福岡
2024-12-31,法人ソリューション事業部,導入コンサルティング,2,800000,1600000,中小企業,東京
2024-12-31,EC事業部,アクセサリーセット,56,4980,278880,個人,—
2024-12-31,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2024-12-31,EC事業部,リファービッシュ品,13,19800,257400,個人,—
2024-12-31,EC事業部,サブスクリプションBOX,44,3980,175120,個人,—
2024-12-31,EC事業部,カスタマイズケース,35,2980,104300,個人,—
2024-12-31,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外代理店,北米
2024-12-31,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外直販,欧州
2024-12-31,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2024-12-31,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
